index,county,month_date_yyyymm,county_fips,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,pending_ratio,quality_flag,code,state,index,county,state,total,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races,total_hispanic_or_latino,fips
0,Sullivan,202211,29211,169675,17,74,2,0,6,1,110,1696,325860,18,0.0588,1,MO,Missouri,729,Sullivan,Missouri,5999,5517,4680,208,53,30,1,545,482,1054,29211
1,Mckean,202211,42083,132450,70,73,20,0,10,32,87,1562,166195,104,0.4571,0,PA,Pennsylvania,2771,Mckean,Pennsylvania,40432,38627,37273,867,110,199,2,176,1805,642,42083
2,Washington,202211,44009,649950,250,44,164,0,52,246,401,1779,1277865,499,0.984,0,RI,Rhode Island,2625,Washington,Rhode Island,129839,123411,116202,1532,1024,2610,51,1992,6428,4578,44009
3,Tyler,202211,48457,199225,115,96,14,0,32,17,120,1738,255391,128,0.1441,0,TX,Texas,1963,Tyler,Texas,19798,18841,15621,2059,120,100,3,938,957,1520,48457
4,Harrison,202211,54033,201975,118,53,62,2,40,91,121,1678,223445,209,0.7669,1,WV,West Virginia,795,Harrison,West Virginia,65921,62513,60334,1118,157,489,28,387,3408,1403,54033
5,Dearborn,202211,18029,308750,83,50,36,0,30,24,147,2227,377683,106,0.2848,0,IN,Indiana,1905,Dearborn,Indiana,50679,48512,47563,307,84,211,11,336,2167,724,18029
6,Chester,202211,42029,599129,606,54,372,42,196,737,242,2559,871531,1340,1.2164,0,PA,Pennsylvania,2753,Chester,Pennsylvania,534413,498342,413103,29526,1450,35252,133,18878,36071,43542,42029
7,Appling,202211,13001,264900,27,66,8,0,6,9,145,1721,299263,34,0.3148,1,GA,Georgia,1031,Appling,Georgia,18444,17737,13071,3387,91,128,1,1059,707,1825,13001
8,Culpeper,202211,51047,507495,103,78,34,8,20,76,219,2315,610341,181,0.733,0,VA,Virginia,2010,Culpeper,Virginia,52552,47865,36092,6567,365,776,23,4042,4687,7509,51047
9,Avoyelles,202211,22009,135000,79,96,20,0,14,23,82,1646,155756,103,0.2848,0,LA,Louisiana,1110,Avoyelles,Louisiana,39693,37886,25625,10706,364,359,9,823,1807,1485,22009
10,Jackson,202211,55053,200550,33,63,14,0,6,13,139,1590,273242,45,0.3846,0,WI,Wisconsin,963,Jackson,Wisconsin,21145,20283,18142,442,1378,77,0,244,862,678,55053
11,St. mary's,202211,24037,404900,223,52,102,4,76,150,185,2162,490854,369,0.6704,1,MD,Maryland,2827,St. mary's,Maryland,113777,104415,81952,16294,438,3362,90,2279,9362,6545,24037
12,Mercer,202211,38057,173500,28,96,6,0,2,9,86,2029,279223,37,0.3214,0,ND,North Dakota,2716,Mercer,North Dakota,8350,7984,7622,42,200,44,1,75,366,218,38057
13,Miami,202211,18103,124900,48,61,22,0,18,21,79,1728,135232,69,0.4375,1,IN,Indiana,629,Miami,Indiana,35962,34305,31502,1805,310,131,5,552,1657,1186,18103
14,Tooele,202211,49045,512450,365,62,100,6,176,156,183,2848,543813,519,0.4266,1,UT,Utah,110,Tooele,Utah,72698,66818,61011,465,726,526,651,3439,5880,9522,49045
15,Dare,202211,37055,669500,323,76,118,0,78,172,377,1939,921972,495,0.5333,0,NC,North Carolina,1468,Dare,North Carolina,36915,34754,32429,703,181,265,10,1166,2161,2554,37055
16,Pontotoc,202211,40123,237450,89,46,40,0,28,43,130,1854,336131,132,0.4831,0,OK,Oklahoma,2581,Pontotoc,Oklahoma,38065,32486,23271,884,7171,373,13,774,5579,2208,40123
17,Hamilton,202211,31081,277425,18,49,6,0,8,2,132,2338,288062,20,0.0833,0,NE,Nebraska,185,Hamilton,Nebraska,9429,9091,8894,27,40,15,2,113,338,320,31081
18,Lawrence,202211,21127,187225,17,130,2,0,4,8,96,1951,258165,25,0.4848,1,KY,Kentucky,3100,Lawrence,Kentucky,16293,15898,15787,36,2,23,4,46,395,148,21127
19,Somerset,202211,23025,235600,155,78,42,0,30,35,171,1411,316706,192,0.2258,0,ME,Maine,52,Somerset,Maine,50477,48210,47184,250,237,263,18,258,2267,656,23025
20,Polk,202211,55095,327500,83,67,24,0,26,63,212,1553,381331,145,0.7636,0,WI,Wisconsin,978,Polk,Wisconsin,44977,43216,42075,182,390,206,7,356,1761,947,55095
21,Clay,202211,27027,329675,137,65,58,2,30,31,146,2255,363692,168,0.2271,0,MN,Minnesota,245,Clay,Minnesota,65318,61458,55451,3190,1147,781,20,869,3860,3011,27027
22,Williamson,202211,47187,980470,1101,40,464,12,382,209,315,3260,1590550,1309,0.1899,1,TN,Tennessee,89,Williamson,Tennessee,247726,232292,203600,9876,574,12953,117,5172,15434,14261,47187
23,Knox,202211,21121,234000,45,77,8,0,14,22,121,1839,245796,67,0.4778,0,KY,Kentucky,3097,Knox,Kentucky,30193,29194,28616,296,87,85,1,109,999,347,21121
24,Blount,202211,47009,474900,273,52,120,0,138,211,221,2135,637210,487,0.7729,1,TN,Tennessee,1802,Blount,Tennessee,135280,127218,119367,3628,521,1297,29,2376,8062,5709,47009
25,La plata,202211,08067,849450,230,77,62,0,38,56,390,2337,1616456,287,0.2435,0,CO,Colorado,848,La plata,Colorado,55638,50626,44366,205,3342,397,36,2280,5012,7008,08067
26,Antrim,202211,26009,367200,108,75,18,0,18,37,225,1687,690107,141,0.3395,0,MI,Michigan,2101,Antrim,Michigan,23431,22372,21902,39,201,72,20,138,1059,459,26009
27,Quay,202211,35037,269900,12,111,2,0,2,3,109,2155,326265,15,0.2609,0,NM,New Mexico,2570,Quay,New Mexico,8746,7490,6181,110,137,49,9,1004,1256,3848,35037
