index,county,month_date_yyyymm,county_fips,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,pending_ratio,quality_flag,code,state,index,county,state,total,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races,total_hispanic_or_latino,fips
2935,Autauga,202301,01001,325200,63,90,46,0,12,38,136,2300,335671,102,0.6032,1,AL,Alabama,0,Autauga,Alabama,58805,55648,42160,11445,217,881,35,910,3157,2117,01001
966,Baldwin,202301,01003,485000,1542,85,636,50,472,714,277,1878,681304,2247,0.463,0,AL,Alabama,1,Baldwin,Alabama,231767,216743,189399,18217,1582,2067,143,5335,15024,12686,01003
569,Barbour,202301,01005,224950,52,101,12,0,8,9,105,2038,269812,61,0.1748,1,AL,Alabama,2,Barbour,Alabama,25223,24523,11317,11933,116,117,1,1039,700,1510,01005
2406,Bibb,202301,01007,225950,19,100,10,0,6,7,122,1731,268235,25,0.3421,1,AL,Alabama,3,Bibb,Alabama,22293,21534,16555,4413,60,32,9,465,759,740,01007
2710,Blount,202301,01009,253750,91,85,32,0,24,55,143,1792,331659,145,0.6044,0,AL,Alabama,4,Blount,Alabama,59134,55478,50663,845,337,178,24,3431,3656,5771,01009
2736,Bullock,202301,01011,264500,7,110,4,0,2,,100,3942,350455,7,,0,AL,Alabama,5,Bullock,Alabama,10357,10109,2320,7396,72,9,10,302,248,503,01011
1541,Butler,202301,01013,158250,12,78,4,0,0,5,77,2040,197463,16,0.3913,0,AL,Alabama,6,Butler,Alabama,19051,18464,9752,8430,29,143,5,105,587,260,01013
1227,Calhoun,202301,01015,182000,204,74,94,0,46,97,96,1758,241320,305,0.4755,0,AL,Alabama,7,Calhoun,Alabama,116441,110412,80586,25559,487,1190,119,2471,6029,5010,01015
1630,Chambers,202301,01017,263321,66,93,34,0,10,17,134,1448,247089,82,0.2519,1,AL,Alabama,233,Chambers,Alabama,34772,33562,18850,13512,106,401,13,680,1210,1237,01017
1143,Cherokee,202301,01019,278724,78,106,26,0,10,12,184,1714,318276,90,0.1538,0,AL,Alabama,186,Cherokee,Alabama,24971,24051,22707,987,109,56,1,191,920,400,01019
1659,Chilton,202301,01021,259900,103,114,34,4,22,44,157,1620,304993,147,0.4244,0,AL,Alabama,187,Chilton,Alabama,45014,43011,35527,4067,338,181,6,2892,2003,4418,01021
2555,Choctaw,202301,01023,149500,11,151,2,0,0,,71,2191,171164,11,,1,AL,Alabama,188,Choctaw,Alabama,12665,12405,7074,5232,30,22,0,47,260,113,01023
2267,Clarke,202301,01025,149900,36,101,6,0,6,8,88,1902,219824,44,0.2083,0,AL,Alabama,189,Clarke,Alabama,23087,22535,12029,10255,74,94,1,82,552,206,01025
2474,Clay,202301,01027,200925,27,84,10,0,8,6,110,1834,228477,34,0.2222,1,AL,Alabama,190,Clay,Alabama,14236,13641,11375,1963,56,48,4,195,595,449,01027
1118,Cleburne,202301,01029,252475,22,109,4,0,8,12,122,2010,394261,33,0.5349,0,AL,Alabama,191,Cleburne,Alabama,15056,14490,13819,466,53,21,2,129,566,284,01029
